,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID
197,f522868d85d70569fb3e90bd913efa1c3394a264,17.09-rc/Dockerfile,17.12-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2017-12-03 14:02:35+00:00,2017-12-03 06:02:35-08:00,2018-02-28 09:44:22-08:00,17.09-rc/Dockerfile,2018-02-28 09:44:22-08:00,5f83f231f9fc12a9a3cd214376c567de664daa2f
198,f522868d85d70569fb3e90bd913efa1c3394a264,17.09-rc/Dockerfile,17.12-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2017-12-03 14:02:35+00:00,2017-12-03 06:02:35-08:00,2018-02-28 09:44:22-08:00,17.09-rc/Dockerfile,2018-02-28 09:44:22-08:00,5f83f231f9fc12a9a3cd214376c567de664daa2f
28,5dd425e5b74a02bde63257e56c2bb67cbae74686,18.09-rc/dind/Dockerfile,18.09/dind/Dockerfile,# TODO aufs-tools,2018-08-22 21:02:26+00:00,2018-08-22 14:02:26-07:00,2020-06-09 14:17:40-07:00,18.09-rc/dind/Dockerfile,2020-06-09 14:17:40-07:00,8fe469c62af39646db99bf1de7ae65a3eb66f40f
29,5dd425e5b74a02bde63257e56c2bb67cbae74686,18.09-rc/dind/Dockerfile,18.09/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,2018-08-22 21:02:26+00:00,2018-08-22 14:02:26-07:00,2020-06-09 14:17:40-07:00,18.09-rc/dind/Dockerfile,2020-06-09 14:17:40-07:00,8fe469c62af39646db99bf1de7ae65a3eb66f40f
30,2f6926c4fb37274b90fae3ba6c3320619a8d0289,17.07/windows/windowsservercore/Dockerfile,17.10/windows/windowsservercore/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2017-10-12 23:46:20+00:00,2017-10-12 16:46:20-07:00,2017-11-21 09:48:07-08:00,17.07/windows/windowsservercore/Dockerfile,2017-11-21 09:48:07-08:00,64f6d5eba928dd79b9ca1e7e879021a2baf4c705
31,2f6926c4fb37274b90fae3ba6c3320619a8d0289,17.10-rc/windows/windowsservercore/Dockerfile,17.10-rc/windows/windowsservercore/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2017-10-12 23:46:20+00:00,2017-10-12 16:46:20-07:00,2017-10-18 09:49:43-07:00,17.10-rc/windows/windowsservercore/Dockerfile,2017-10-18 09:49:43-07:00,62a456489acfe7443d426cd502ccf22130d1ccf9
32,2f6926c4fb37274b90fae3ba6c3320619a8d0289,17.09/windows/windowsservercore/Dockerfile,17.09/windows/windowsservercore-1709/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2017-10-12 23:46:20+00:00,2017-10-12 16:46:20-07:00,2017-12-08 10:24:52-08:00,17.09/windows/windowsservercore/Dockerfile,2017-12-08 10:24:52-08:00,b1141312eeb02c7d9fb0815f7cfaf6827d434007
33,2f6926c4fb37274b90fae3ba6c3320619a8d0289,17.06/windows/windowsservercore/Dockerfile,17.06/windows/windowsservercore/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2017-10-12 23:46:20+00:00,2017-10-12 16:46:20-07:00,2017-11-08 06:45:21-08:00,17.06/windows/windowsservercore/Dockerfile,2017-11-08 06:45:21-08:00,fc032db99e903fd80be9b32ab99361650624d4cd
325,ce8784112e81f724c96dae8272dd7367d712f3e9,17.09-rc/Dockerfile,17.09/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2017-09-07 16:31:38+00:00,2017-09-07 09:31:38-07:00,2018-02-08 09:29:32-08:00,17.09-rc/Dockerfile,2018-02-08 09:29:32-08:00,157869f94ea90e2acb4d0f77045d99079ead821c
491,454a0ff9e99d4fde7112b25d64d25f940ab28a99,17.09/Dockerfile,17.09/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2017-10-11 21:31:37+00:00,2017-09-07 09:31:38-07:00,2018-02-08 09:29:32-08:00,17.09/Dockerfile,2018-02-08 09:29:32-08:00,157869f94ea90e2acb4d0f77045d99079ead821c
